dataValidTime_sensor,dataReceiveTime_system,Estimated Time
17,1017.01,1017.03
17.02,1017.02,1017.04
17.04,1017.02,1017.04
17.06,1017.06,1017.08
17.08,1017.1,1017.12
17.1,1017.11,1017.13
17.12,1017.11,1017.13
17.14,1017.16,1017.18
17.16,1017.16,1017.18
17.18,1017.17,1017.19
17.2,1017.19,1017.21
17.22,1017.21,1017.23
17.24,1017.26,1017.28
17.26,1017.26,1017.28
17.28,1017.27,1017.29
17.3,1017.29,1017.31
17.32,1017.34,1017.36
17.34,1017.36,1017.38
17.36,1017.37,1017.39
17.38,1017.41,1017.43
17.4,1017.43,1017.45
17.42,1017.43,1017.45
17.44,1017.46,1017.48
17.46,1017.46,1017.48
17.48,1017.47,1017.49
17.5,1017.49,1017.51
17.52,1017.5,1017.52
17.54,1017.57,1017.59
17.56,1017.57,1017.59
17.58,1017.57,1017.59
17.6,1017.58,1017.6
17.62,1017.62,1017.64
17.64,1017.63,1017.65
17.66,1017.66,1017.67
17.68,1017.68,1017.7
17.7,1017.68,1017.7
17.72,1017.71,1017.73
17.74,1017.72,1017.74
17.76,1017.75,1017.77
17.78,1017.81,1017.83
17.8,1017.81,1017.83
17.82,1017.81,1017.83
17.84,1017.86,1017.88
17.86,1017.86,1017.88
17.88,1017.86,1017.88
17.9,1017.9,1017.92
17.92,1017.92,1017.94
17.94,1017.93,1017.95
17.96,1017.96,1017.98
17.98,1017.98,1018
18,1017.98,1018
18.02,1018.01,1018.03
18.04,1018.03,1018.05
18.06,1018.04,1018.06
18.08,1018.07,1018.09
18.1,1018.11,1018.13
18.12,1018.12,1018.14
18.14,1018.13,1018.15
18.16,1018.15,1018.17
18.18,1018.18,1018.2
18.2,1018.19,1018.21
18.22,1018.2,1018.22
18.24,1018.23,1018.25
18.26,1018.25,1018.27
18.28,1018.29,1018.31
18.3,1018.29,1018.31
18.32,1018.3,1018.32
18.34,1018.34,1018.36
18.36,1018.36,1018.38
18.38,1018.37,1018.39
18.4,1018.4,1018.42
18.42,1018.45,1018.47
18.44,1018.45,1018.47
18.46,1018.45,1018.47
18.48,1018.48,1018.5
18.5,1018.49,1018.51
18.52,1018.5,1018.52
18.54,1018.52,1018.54
18.56,1018.54,1018.56
18.58,1018.59,1018.61
18.6,1018.59,1018.61
18.62,1018.62,1018.64
18.64,1018.64,1018.66
18.66,1018.65,1018.67
18.68,1018.71,1018.73
18.7,1018.71,1018.73
18.72,1018.74,1018.76
18.74,1018.74,1018.76
18.76,1018.78,1018.8
18.78,1018.79,1018.81
18.8,1018.79,1018.81
